Jul. 25 (Tue),Jul. 26 (Wed),Jul. 27 (Thu),Jul. 28 (Fri),Jul. 31 (Mon),Aug. 01 (Tue),Aug. 02 (Wed),Aug. 03 (Thu),Aug. 04(Fri),Aug. 06 (Sun)
0,0,0,0,0,0,0,0,0,0
0,0,0,34,6,0,0,0,24,0
0,0,43,57,6,21,32,59,27,27
55,0,68,34,11,40,30,58,18,19
75,0,46,64,35,41,71,114,45,20
83,91,0,63,55,57,76,98,67,25
108,70,0,71,45,38,59,45,36,32
47,42,0,51,18,42,65,47,18,38
0,42,0,32,48,40,41,31,17,52
0,0,17,51,55,29,47,45,80,20
0,0,36,59,49,53,26,0,29,52
0,0,41,48,20,63,44,0,32,45
0,0,17,0,36,36,34,0,0,6
0,0,0,0,36,34,10,0,16,33
0,0,0,0,68,60,34,0,14,44
0,0,0,0,0,16,12,0,9,19
0,0,0,0,0,19,17,0,10,33
0,0,0,0,0,7,8,0,14,15
0,0,0,0,0,0,3,0,0,18
0,0,0,0,0,0,8,0,0,13
0,0,0,0,0,0,2,0,0,29
0,0,0,0,0,0,0,0,0,0
368,245,268,564,488,596,619,497,456,540
