Jul. 25 (Tue),Jul. 26 (Wed),Jul. 27 (Thu),Jul. 28 (Fri),Jul. 31 (Mon),Aug. 01 (Tue),Aug. 02 (Wed),Aug. 03 (Thu),Aug. 04(Fri),Aug. 06 (Sun)
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,6,0,1,0,0,0,0
1,0,2,1,0,7,0,1,0,0
13,0,1,2,1,1,4,9,0,0
0,8,0,3,6,1,0,4,0,0
4,2,0,16,6,1,1,1,0,0
6,0,0,0,0,0,3,1,0,5
0,1,0,2,1,1,1,0,0,1
0,0,0,2,2,1,0,0,0,4
0,0,8,4,12,5,0,0,0,2
0,0,0,0,0,1,0,0,0,7
0,0,0,0,7,0,3,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,10,4,0,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,6
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
24,11,18,36,46,24,12,16,0,33
